id,radius,name,hasCollision,breaksOnHit,visibleByTime,hasAnimation,borderBoxLength,borderBoxWidth,borderBoxHeight,materialsFile,definitionFile,modelFile,tags
10067,68.2595,road05_sfe,Yes,No,"No, visible always",No,129.9751,42.1591,21.39103,roadsfe.txd,SFe.ide,road05_sfe.dff,
10068,69.885,road_07_sfe,Yes,No,"No, visible always",No,43.3532,132.8373,3.22914,roadsfe.txd,SFe.ide,road_07_sfe.dff,
10069,118.508,road06_sfe,Yes,No,"No, visible always",No,28.5627,235,12.37705,roadsfe.txd,SFe.ide,road06_sfe.dff,
1007,0.228467,wg_l_b_ssk,No,No,"No, visible always",No,0.1546332,0.42118,0.124544,vehicle.txd,veh_mods.ide,wg_l_b_ssk.dff,
10070,96.6562,road08_sfe,Yes,No,"No, visible always",No,188.9041,38.7708,13.6486,roadsfe.txd,SFe.ide,road08_sfe.dff,
10071,74.0042,road09_sfe,Yes,No,"No, visible always",No,145.0314,29.4714,3.1358,roadsfe.txd,SFe.ide,road09_sfe.dff,
10072,94.9737,road10_sfe,Yes,No,"No, visible always",No,186.7451,29.581,20.57107,roadsfe.txd,SFe.ide,road10_sfe.dff,
10073,107.597,road11_sfe,Yes,No,"No, visible always",No,179.6603,109.734,50.0231,roadsfe.txd,SFe.ide,road11_sfe.dff,
10074,69.2443,road12_sfe,Yes,No,"No, visible always",No,116.588,73.8257,11.70476,roadsfe.txd,SFe.ide,road12_sfe.dff,
10075,65.7475,road_16_sfe01,Yes,No,"No, visible always",No,112.6089,57.7583,35.7199,lombard.txd,SFe.ide,road_16_sfe01.dff,Road
10076,84.9555,road13_sfe,Yes,No,"No, visible always",No,167.0754,29.5007,9.23218,roadsfe.txd,SFe.ide,road13_sfe.dff,
10077,106.202,road14_sfe,Yes,No,"No, visible always",No,29.9238,209.987,11.5716,roadsfe.txd,SFe.ide,road14_sfe.dff,
10078,46.5941,road15_sfe,Yes,No,"No, visible always",No,87.3005,23.8516,23.37978,roadsfe.txd,SFe.ide,road15_sfe.dff,Road
10079,3.60859,pyr_top_SFe,Yes,No,"No, visible always",No,3.03805,2.93413,6.53625,pyr_roof.txd,SFe.ide,pyr_top_SFe.dff,
1008,0.440744,nto_b_l,No,No,"No, visible always",No,0.856097,0.19743,0.2081513,vehicle.txd,veh_mods.ide,nto_b_l.dff,
10080,45.8388,fishwarf10_sfe,Yes,No,"No, visible always",No,45.18549,67.4724,50.1479,slapart01sfe.txd,SFe.ide,fishwarf10_sfe.dff,
10083,127.359,backalleys1_sfe,Yes,No,"No, visible always",No,248.226,86.0814,50.7975,slapart01sfe.txd,SFe.ide,backalleys1_sfe.dff,
10084,72.7896,fishwarf13_sfe,Yes,No,"No, visible always",No,92.3578,52.2854,42.2632,slapart01sfe.txd,SFe.ide,fishwarf13_sfe.dff,
10086,52.8404,aprtmnts03_sfe,Yes,No,"No, visible always",No,48.1248,33.6366,50.9773,slapart01sfe.txd,SFe.ide,aprtmnts03_sfe.dff,
10087,61.3084,landsl01_sfe,Yes,No,"No, visible always",No,72.2178,105.3359,43.2357,fishwarf.txd,SFe.ide,landsl01_sfe.dff,
1009,0.339667,nto_b_s,No,No,"No, visible always",No,0.666208,0.1249161,0.1316993,vehicle.txd,veh_mods.ide,nto_b_s.dff,
1010,0.353138,nto_b_tw,No,No,"No, visible always",No,0.666208,0.251884,0.1316999,vehicle.txd,veh_mods.ide,nto_b_tw.dff,
10101,55.5836,vicstuff_sfe67,Yes,No,"No, visible always",No,70.3092,61.6986,45.2865,2notherbuildsfe.txd,SFe.ide,vicstuff_sfe67.dff,
1011,0.478543,bnt_b_sc_p_m,No,No,"No, visible always",No,0.925337,0.277868,0.0818965,vehicle.txd,veh_mods.ide,bnt_b_sc_p_m.dff,
10110,46.4545,road16_sfe,Yes,No,"No, visible always",No,86.8908,23.7108,24.11485,roadsfe.txd,SFe.ide,road16_sfe.dff,Road
10111,45.3023,road17_sfe,Yes,No,"No, visible always",No,86.9145,22.5698,15.4995,roadsfe.txd,SFe.ide,road17_sfe.dff,
10112,44.6719,road18_sfe,Yes,No,"No, visible always",No,87.0152,19.55401,5.36965,roadsfe.txd,SFe.ide,road18_sfe.dff,
10113,70.1495,road19_sfe,Yes,No,"No, visible always",No,29.9441,135,25.377,roadsfe.txd,SFe.ide,road19_sfe.dff,
10114,44.9042,road20_sfe,Yes,No,"No, visible always",No,87.0051,22.2192,1.531315,roadsfe.txd,SFe.ide,road20_sfe.dff,
10115,96.887,road21_sfe,Yes,No,"No, visible always",No,184.4189,59.0615,11.62513,roadsfe.txd,SFe.ide,road21_sfe.dff,
10116,103.951,road22_sfe,Yes,No,"No, visible always",No,205.074,34.1087,5.341078,roadsfe.txd,SFe.ide,road22_sfe.dff,Crossroads|Road
10117,113.179,road23_sfe,Yes,No,"No, visible always",No,28.7738,224.035,15.14163,roadsfe.txd,SFe.ide,road23_sfe.dff,
10118,46.0268,road01_sfe,Yes,No,"No, visible always",No,80.0697,44.1718,12.31341,roadsfe.txd,SFe.ide,road01_sfe.dff,Road
10119,44.2664,road25_sfe,Yes,No,"No, visible always",No,80.0134,35.9712,11.91551,roadsfe.txd,SFe.ide,road25_sfe.dff,
1012,0.481969,bnt_b_sc_p_l,No,No,"No, visible always",No,0.926262,0.277868,0.1347473,vehicle.txd,veh_mods.ide,bnt_b_sc_p_l.dff,
10120,101.365,road26_sfe,Yes,No,"No, visible always",No,40.349,198.4513,12.80406,roadsfe.txd,SFe.ide,road26_sfe.dff,
10121,116.961,road27_sfe,Yes,No,"No, visible always",No,39.6,229.889,23.452,roadsfe.txd,SFe.ide,road27_sfe.dff,
10122,116.485,road28_sfe,Yes,No,"No, visible always",No,29.6194,229.942,22.97044,roadsfe.txd,SFe.ide,road28_sfe.dff,Road
10123,39.8481,road29_sfe,Yes,No,"No, visible always",No,65.012,39.978,22.94936,roadsfe.txd,SFe.ide,road29_sfe.dff,
10124,69.3889,road30_sfe,Yes,No,"No, visible always",No,129.9683,47.2731,22.77045,roadsfe.txd,SFe.ide,road30_sfe.dff,Road
10125,67.6483,road32_sfe,Yes,No,"No, visible always",No,129.9784,31.1872,20.93181,roadsfe.txd,SFe.ide,road32_sfe.dff,
10126,42.9242,road33_sfe,Yes,No,"No, visible always",No,13.65491,84.6033,5.46238,roadsfe.txd,SFe.ide,road33_sfe.dff,
10127,37.0442,road34_sfe,Yes,No,"No, visible always",No,61.1167,41.5629,5.13437,roadsfe.txd,SFe.ide,road34_sfe.dff,
10128,26.8564,road35_sfe,Yes,No,"No, visible always",No,36.9932,43.4258,3.78118,roadsfe.txd,SFe.ide,road35_sfe.dff,
10129,26.9863,road36_sfe,Yes,No,"No, visible always",No,31.8465,43.5397,3.2949,roadsfe.txd,SFe.ide,road36_sfe.dff,
1013,0.807674,lgt_b_rspt,No,No,"No, visible always",No,1.605825,0.1751368,0.26378,vehicle.txd,veh_mods.ide,lgt_b_rspt.dff,
10130,49.2677,road37_sfe,Yes,No,"No, visible always",No,83.9132,55.3123,3.29494,roadsfe.txd,SFe.ide,road37_sfe.dff,
10131,113.591,road38_sfe,Yes,No,"No, visible always",No,35.3938,224.645,3.22915,roadsfe.txd,SFe.ide,road38_sfe.dff,
10132,87.9551,road39_sfe,Yes,No,"No, visible always",No,172.3892,34.3701,13.50888,roadsfe.txd,SFe.ide,road39_sfe.dff,
10133,42.8468,road40_sfe,Yes,No,"No, visible always",No,6.88684,84.6133,11.69229,roadsfe.txd,SFe.ide,road40_sfe.dff,Road
10134,82.111,road41_sfe,Yes,No,"No, visible always",No,160.0106,28.2786,23.78693,roadsfe.txd,SFe.ide,road41_sfe.dff,Road
10135,42.9801,road43_sfe,Yes,No,"No, visible always",No,80.0101,31.2588,3.22915,roadsfe.txd,SFe.ide,road43_sfe.dff,Road
10136,74.5686,road44_sfe,Yes,No,"No, visible always",No,22.9329,142.8969,36.0066,roadsfe.txd,SFe.ide,road44_sfe.dff,Road
10137,122.191,road45_sfe,Yes,No,"No, visible always",No,29.9239,240.027,34.9367,roadsfe.txd,SFe.ide,road45_sfe.dff,
10138,59.5945,road46_sfe,Yes,No,"No, visible always",No,114.4104,22.9405,26.4975,roadsfe.txd,SFe.ide,road46_sfe.dff,
10139,59.5725,road47_sfe,Yes,No,"No, visible always",No,112.5583,28.0052,27.3468,roadsfe.txd,SFe.ide,road47_sfe.dff,
1014,0.932297,spl_b_bar_l,No,No,"No, visible always",No,1.842949,0.2436896,0.1975082,vehicle.txd,veh_mods.ide,spl_b_bar_l.dff,Machine parts|Tuning
10140,39.9464,freig2_intSFE,Yes,No,"No, visible always",No,70.2832,20.81663,14.26183,frieghter2sfe.txd,SFe.ide,freig2_intSFE.dff,
10142,64.6674,dwntwnsl01_sfe1,Yes,No,"No, visible always",No,52.9973,48.4726,69.1178,sfe_builda.txd,SFe.ide,dwntwnsl01_sfe1.dff,
10143,60.1866,tempsf_1_sfe,Yes,No,"No, visible always",No,54.8797,54.4072,92.7124,calfed_sfe.txd,SFe.ide,tempsf_1_sfe.dff,
10145,33.0665,genome_SFE,Yes,No,"No, visible always",No,21.1298,21.1386,62.6665,bigwhitesfe.txd,SFe.ide,genome_SFE.dff,Exterior|Statues
10146,147.061,nitelites_sfe14,No,No,"Yes, visible from 20 to 6",No,115.4356,273.6548,54.6905,nitelites.txd,SFe.ide,nitelites_sfe14.dff,
10147,110.628,nitelites_sfe15,No,No,"Yes, visible from 20 to 6",No,179.1773,95.0575,88.3941,nitelites.txd,SFe.ide,nitelites_sfe15.dff,
10148,9.38451,bombshop,Yes,No,"No, visible always",No,7.31409,13.61417,4.00495,bombshop_sfe.txd,SFe.ide,bombshop.dff,
10149,2.50073,bombdoor02,Yes,No,"No, visible always",No,4.00183,0.00175478,3,bombshop_sfe.txd,SFe.ide,bombdoor02.dff,Garage|Gate
1015,0.932989,spl_b_bbr_l,No,No,"No, visible always",No,1.844349,0.2436896,0.1975086,vehicle.txd,veh_mods.ide,spl_b_bbr_l.dff,
10150,2.91523,fdorsfe,Yes,No,"No, visible always",No,0.1273847,4.20544,4.03636,chinatownsfe.txd,SFe.ide,fdorsfe.dff,
10151,109.766,bigvicgrnd_sfe,Yes,No,"No, visible always",No,63.5079,209.747,36.1264,big_vic1.txd,SFe.ide,bigvicgrnd_sfe.dff,
10152,23.2125,victimber1_sfe,Yes,No,"No, visible always",No,25.2532,32.2574,12.65428,sfvictorian2.txd,SFe.ide,victimber1_sfe.dff,
10153,36.7357,victimber2_sfe,Yes,No,"No, visible always",No,32.8693,54.44977,18.18907,sfvictorian2.txd,SFe.ide,victimber2_sfe.dff,
10154,3.98045,pier69gdr,Yes,No,"No, visible always",No,0.1329611,5.66506,5.59154,coastground.txd,SFe.ide,pier69gdr.dff,
1016,0.868257,spl_b_bbr_m,No,No,"No, visible always",No,1.713251,0.2436896,0.1975086,vehicle.txd,veh_mods.ide,spl_b_bbr_m.dff,
10165,37.6182,pointybot_Sfe,Yes,No,"No, visible always",No,54.1482,48.7334,22.4676,pointysfe.txd,SFe.ide,pointybot_Sfe.dff,
10166,100.463,p69_rocks,Yes,No,"No, visible always",No,170.6888,100.51959,75.754782,p69_rocks.txd,SFe.ide,p69_rocks.dff,
1017,0.228467,wg_r_b_ssk,No,No,"No, visible always",No,0.1546332,0.42118,0.1245441,vehicle.txd,veh_mods.ide,wg_r_b_ssk.dff,
10173,54.1185,fire_esc_SFE03,Yes,No,"No, visible always",No,75.3768,3.40805,55.8817,fescape_sfe.txd,SFe.ide,fire_esc_SFE03.dff,
10174,63.7081,fire_esc_SFE04,Yes,No,"No, visible always",No,94.7343,3.4831,55.2912,fescape_sfe.txd,SFe.ide,fire_esc_SFE04.dff,
10175,20.1629,fire_esc_SFE05,No,No,"No, visible always",No,33.4328,3.40808,22.2928,fescape_sfe.txd,SFe.ide,fire_esc_SFE05.dff,Building|Exterior|Stairs
10176,37.7672,fire_esc_SFE01,Yes,No,"No, visible always",No,9.6645,69.1011,24.4709,fescape2_sfe.txd,SFe.ide,fire_esc_SFE01.dff,
10177,32.085,fire_esc_SFE07,Yes,No,"No, visible always",No,2.64761,53.9684,17.28933,fescape2_sfe.txd,SFe.ide,fire_esc_SFE07.dff,
10178,60.7158,fire_esc_SFE08,Yes,No,"No, visible always",No,22.68334,113.9569,24.7862,fescape2_sfe.txd,SFe.ide,fire_esc_SFE08.dff,
10179,31.6626,fire_esc_SFE09,Yes,No,"No, visible always",No,52.2019,6.0279,12.9582,fescape2_sfe.txd,SFe.ide,fire_esc_SFE09.dff,
1018,0.197445,exh_b_ts,No,No,"No, visible always",No,0.259183,0.2956,0.1477176,vehicle.txd,veh_mods.ide,exh_b_ts.dff,Machine parts|Tuning
10180,46.5743,fire_esc_SFE10,Yes,No,"No, visible always",No,2.60025,88.5488,16.23095,fescape2_sfe.txd,SFe.ide,fire_esc_SFE10.dff,Balconies|Exterior
10181,48.4084,fire_esc_SFE11,Yes,No,"No, visible always",No,24.6985,18.6337,72.8454,fescape3_sfe.txd,SFe.ide,fire_esc_SFE11.dff,
10182,3.6778,michdr,Yes,No,"No, visible always",No,0.223355,6.51071,3.4155,fishwarf.txd,SFe.ide,michdr.dff,Gate
10183,20.4848,ferspaces,No,No,"No, visible always",No,33.6083,33.9849,0.03576663,coastground.txd,SFe.ide,ferspaces.dff,
10184,8.83697,sfcopdr,Yes,No,"No, visible always",No,0.319593,16.93423,5.04952,copshop_sfe.txd,SFe.ide,sfcopdr.dff,
10185,69.4305,lombardsteps,Yes,No,"No, visible always",No,113.3364,71.7147,36.0905,lombard.txd,SFe.ide,lombardsteps.dff,
10186,65.0986,lombard3_sfe,Yes,No,"No, visible always",No,112.5976,55.0366,35.2715,lombard.txd,SFe.ide,lombard3_sfe.dff,
10187,34.3688,vicnew_sfe01,Yes,No,"No, visible always",No,54.997,15.29003,37.1645,sfvictorian.txd,SFe.ide,vicnew_sfe01.dff,
10188,39.9341,vicnew_sfe02,Yes,No,"No, visible always",No,15.45807,61.3415,29.1724,sfvictorian.txd,SFe.ide,vicnew_sfe02.dff,
10189,59.4791,vicnew_sfe03,Yes,No,"No, visible always",No,73.9581,86.2423,36.4372,sfvictorian.txd,SFe.ide,vicnew_sfe03.dff,
1019,0.165079,exh_b_t,No,No,"No, visible always",No,0.259183,0.20452,0.1114186,vehicle.txd,veh_mods.ide,exh_b_t.dff,Machine parts|Mufflers|Tuning
10193,54.4508,hotelbits_Sfe07,Yes,No,"No, visible always",No,60.1765,56.9129,77.7754,smallertxd.txd,SFe.ide,hotelbits_Sfe07.dff,
10194,49.713,hotelbits_Sfe03,Yes,No,"No, visible always",No,60.1762,23.4887,76.1026,smallertxd.txd,SFe.ide,hotelbits_Sfe03.dff,
10195,34.6473,hotelbits_Sfe02,Yes,No,"No, visible always",No,46.0417,23.457,46.1704,smallertxd.txd,SFe.ide,hotelbits_Sfe02.dff,
10196,40.7062,hotelbits_Sfe01,Yes,No,"No, visible always",No,30.3203,40.0581,64.0972,smallertxd.txd,SFe.ide,hotelbits_Sfe01.dff,
10197,39.7013,hotelbits_Sfe04,Yes,No,"No, visible always",No,60.1559,40.0962,39.4804,smallertxd.txd,SFe.ide,hotelbits_Sfe04.dff,
1020,0.124329,exh_b_l,No,No,"No, visible always",No,0.1364471,0.20788,0.1364471,vehicle.txd,veh_mods.ide,exh_b_l.dff,Machine parts|Mufflers|Tuning
1021,0.116236,exh_b_m,No,No,"No, visible always",No,0.1105205,0.20452,0.1105205,vehicle.txd,veh_mods.ide,exh_b_m.dff,
1022,0.0956114,exh_b_s,No,No,"No, visible always",No,0.0686665,0.17847,0.0686665,vehicle.txd,veh_mods.ide,exh_b_s.dff,
10226,13.6432,shipbits2_sfe,Yes,No,"No, visible always",No,14.86757,12.67629,10.76219,sfeship1.txd,SFe.ide,shipbits2_sfe.dff,
10227,6.41964,shipbits1_sfe,Yes,No,"No, visible always",No,4.08093,8.91353,3.76959,sfeship1.txd,SFe.ide,shipbits1_sfe.dff,
10228,23.118,freight_litesSFE,No,No,"No, visible always",No,42.816,17.62173,0.251455,frieghter2sfe.txd,SFe.ide,freight_litesSFE.dff,
10229,54.8213,freighter2b_SFE,Yes,No,"No, visible always",No,108.3033,21.3745,19.3974,frieghter2sfe.txd,SFe.ide,freighter2b_SFE.dff,
1023,1.00728,spl_b_bbb_m,No,No,"No, visible always",No,1.999419,0.333152,0.299804,vehicle.txd,veh_mods.ide,spl_b_bbb_m.dff,
10230,60.6403,freighter_sfe,Yes,No,"No, visible always",No,120.8477,25.8988,22.1536,freight_sfe.txd,SFe.ide,freighter_sfe.dff,
10231,34.7263,freightboxes,Yes,No,"No, visible always",No,65.9917,20.301,4.70881,freight_sfe.txd,SFe.ide,freightboxes.dff,
10233,43.7705,carspaces_sfe15,No,No,"No, visible always",No,81.3461,33.9374,9.37406,multistory_sfe.txd,SFe.ide,carspaces_sfe15.dff,
10234,39.1727,fescape2b_sfe,No,No,"No, visible always",No,43.7198,61.5257,45.8029,fescape_sfe.txd,SFe.ide,fescape2b_sfe.dff,
10235,31.6288,pointybotb_Sfe,Yes,No,"No, visible always",No,54.1498,31.4403,22.4614,pointysfe.txd,SFe.ide,pointybotb_Sfe.dff,
